user,text
f*****9,"Kualitas Suara: sangat jernih
Daya Tahan: tahan lama
Fitur: bagus berfungsi, bass nya mantap
Suaranya jernih banget, mantep buat dengerin musik, bass nya oke banget, buat game apa lagi bagus banget ga telat atau putus putus suaranya nya, batre nya awet banget the best baseus"
,"Beli baseus udah 2x ini karena pengen punya suami , suara musik super jernih , buat telvonan juga nyaman dan ini pas aku aktifkan ANC nya suara sekitar langsung kedap gokil harga semurah itu sdh ada unsur ANC nya🔥"
,"Kualitas Suara: jernih dan bagus
Daya Tahan: tahan lama
ternyata worth it juga karna fitur2nya bnyk trus batrenya juga tahan lama g cepet low dan udah support app lgiii kereeeen pokoknya"
,"buat para pencinta audio, atau yg suka dengerin lagu  TWS ini dah support LDAC, yang brrti kualitas suaranya jauh lebih bening dan detail dibanding TWS yang belum support. Baterainya juga juara, tahan lama banget, jadi gak perlu sering-sering ngecas guys."
,"Kualitas Suara: jernih
Daya Tahan: tahan lama
Fitur: kedap suara
Bner² ga bakal nyesel beli tws ini😭 karna sebagus itu lohh.. ini pas anc nya d aktiffin suara sekitar nya langsung kedap, enak banget buat telponan atau dengerin musik❤️ dapet free pouch juga gemess🥰"
,"Kualitas Suara: Bass nya B aja
Daya Tahan: Ok
Kualitas: Ok
Jujur kalau dr kualitas suara gua lebih suka suara soundcore r50i yg lama.. Buakan ini jelek hanya buat kalian yg terbiasa pake tws mahal mending turunkan ekspektasi kalian.. Kalau 1 dari 10 saya pilih 7..kalau fitur ok semua.. Hanya selera aja bas nya gak yg sebumi itu. Kata saya bass nya enakan soundcore r50i yg 200rb an"
,"Kualitas Suara: bass bagus
Daya Tahan: handal
Fitur: bagus
Saat ini di coba bagus , suaranya bagus dan untuk mic nya bagus pas kita lagi tlpn.. mudah2n awet dan sesuai dengan yg di unggulkan.. thanks

Diskon bnyakin lagi yak hehe"
,"TWS Baseus ini mantap banget. Suaranya jernih, bassnya kuat, dan desainnya juga keren. Harga 300-an udah ada ANC-nya, gokil sih. Worth it banget buat yang cari kualitas bagus dengan harga terjangkau"
,"Kualitas Suara: Sangat jernih
Daya Tahan: Tahan lama
Fitur: Bagus sekali
Wah ga nyangka dengan hrga 30 rb bakalan dpt kualitas sebagus ini, Fitur"" banyak juga dan baterai nya tahan lama sudah support app pula pokoknya the best 😍😍😍"
,"Kualitas Suara: memiliki suara yang jernih dan bagus
Daya Tahan: tahan lama dan sangat handal
Kualitas: cukup jernih dan lumayan
Bagus bgt! Worth it dgn harga di bawah 300 ribu, ini buat kado ultah anak ku, dia seneng bgt, suara nya mantap, daya tahan baterai lama, bentuk nya oke, kelihatan kokoh, semoga awet, dapat bonus sticker dan pouch, recommended item ini gaesss!!!"
