user,text,sentiment_label,sentiment_score
r*****8,"Kualitas Suara: baik
dari segi suara memang soso aja lah. tes dengan volume yang sama dicompare dgn soundcore, ini suaranya lebih kecil. bahkan volume 80% masih tergolong pelan suaranya, overall good 8/10 untuk harga segini karna masih bisa ketolong sedikit sama gimmick eq dari appnya. lumayan dpt di harga promo 120rb-an dan dpt bonus pouch. balik lagi ke baseus karna emang dulu awet sampe setahun lebih, semoga ini jg awet. thx seller",LABEL_0,0.9957671165466309
,"Kualitas Suara: jernih
Desain: modern
Daya Tahan: handal dan tahan lama
Terima kasih banyak ya barang sudah saya terima dengan baik dan aman 👍🏻 👍🏻 👍🏻 mantaaappp 👍🏻 👍🏻 👍🏻",LABEL_0,0.9878393411636353
,"Kualitas Suara: PASSS BGT
Desain: cutesyyyyy
Fungsi: berfungsi dengan baik kanan kiri pas
YEY DATENG JUGAA, i'm soo excited 😆 alhamdulilah udah bisa semuanya gada rusak gada minus. good condition, terimakasih banyak 👀 approve guys, cus check out sekarang jugaa!! 🤍😵‍💫",LABEL_0,0.521358072757721
,"Kualitas Suara: sangat memuaskan
Desain: elegan
Daya Tahan: lumayan
beli deh, bagus soal nya.
kemaren udah beli, eh ilang satu 
trus besok nya ilang dua² nya.

yasudah.. mumpung dapat tehaer 😋😋",LABEL_0,0.8326416611671448
,"Kualitas Suara: sangat enak lembut tdk keresek keresek dan gk bikin bising
Desain: simpel ok praktis bsa dibawa kemana mana ditas ok dikantong ok
Daya Tahan: tahan lama harusnya soalnya yg tipe e16 awet bgt
Barang bagus tws hrga ok tapi premium dan suara bagus dan praktis dibawa kemana mana
Tdk dibuat2 ya karena emg sebagus itu semua baseus bagus bagus",LABEL_0,0.995931088924408
a*****4,"Kualitas Suara: jernih
Daya Tahan: mantap
Kualitas: memuaskan
klo produk baseus ga ush diragukan lagi, harganya affordable dan berkualitas.. semoga awet,, sellernya kereeenn pengirimannya cepet bgt 2 hari dr order sudah sampe aja 😁  thanks seller 🙏 next order lagi yaa",LABEL_0,0.9813380241394043
j*****a,"Kualitas Suara: bisa custom lewat apk
Desain: warna nya ga hijau gonjreng
kemakan sales (tmn sendiri) bagus bgt ternyata, nyaman juga ditelinga, beli ini karena yg lama ilang
tp nyambung ke bluetooth nya agk lama :'(",LABEL_0,0.9709944128990173
,"Kualitas Suara: jernih dan noise cancelnya top
Kualitas: terbaik dan terjangkau
Keseluruhan: ini beli yang kedua karna sebelumnya hilang, tapi pilihan jatuh ke tws ini lagii",LABEL_0,0.9868773221969604
z*****a,"Kualitas Suara: sangat memuaskan
Desain: lucu pinky
Daya Tahan: tahan lama
akhirnya dateng juga yang di tunggu"" hehe, makasi seller, semoga ttp amanah sllu seterusnya. suka bgt sama ini, direkomendasiin saudara & teman saya, cocok. saya sering pakai buat lari pagi, bikin tmbh semangat hehe.",LABEL_0,0.9975560903549194
,"Kualitas Suara: bass bagus, dan gede banget
Desain: simple
Daya Tahan: lama
Bagus dan bentuknya simple, dikasih kabel charger dan dikasih pengganti karetnya juga. Suara buat telfon l3bih jelas enak jernih",LABEL_0,0.9969226717948914
k*****6,"Kualitas Suara: sangat bagus
Desain: aesthetic
Fungsi: berfungsi dg baik
ketiga kalinya beli ini, yg ini buat cowo aku, alhamdulillah suka, jadi kita couplean, btw ini fotonya yg punya aku, krn uda lama bgt hihi, batreinya awett bgt, seminggu pun ga d charge masi ada🤩",LABEL_0,0.9914904236793518
h*****u,"lucuu bangett mungil gampang dibawa kemana² ga menuhin tas, nyaman juga ditelinga, untuk kualitas suaranya menurutku sangat oke jernihh, tinggal dipakein case aja biar lebih lucuu, terimakasihh",LABEL_0,0.9909235835075378
a*****7,"Kualitas Suara: jenih bagus bass oke
Desain: lucu warna pink soft
Daya Tahan: yg sebelumnya udah pake 2 tahun masih aman
yg sebelumnya baseus encok wm01 udah pake 2 tahun masih aman dan enak tapi beli lagi warna pink versi bowie",LABEL_0,0.9924597144126892
r*****7,"Kualitas Suara: jernih
Desain: modern
Fungsi: berfungsi dengan baik
semoga buat tws yang ini awet soalnya aku udah beli beberapa kali dengan merk yang beda dan gampang rusakk, padahal tws itu penting bngt buat akuuu",LABEL_0,0.9800357222557068
,"Kualitas Suara: Cukup baik
Daya Tahan: Belum dicoba
Kualitas: cukup memuaskan
Harga affordable, build quality sesuai dengan harga.
Ukuran sangat compact, mudh dibawa2.",LABEL_0,0.9838970899581909
s*****a,"Kualitas Suara: suara jernih dan ga bikin sakit telinga
Desain: menarik
Fungsi: semua komponen bekerja dengan baik
Lucu banget mungil² gituuuu dan juga dikasih 4 karet tambahan yg bisa disesuaikan dengan ukuran lubang telinga.",LABEL_0,0.9653828144073486
a*****y,"Kualitas Suara: sangat jernih dan bagus
Desain: menarik dengan detail yg apik
Daya Tahan: tahan lama dan sangat handal
baguss, apalagi yang warna hijau ini kaya warna mint, dapet stiker jugaaaa lucu deh. ga nyesel beli nya aslii kalo kalian mau beli harus pake proteksi elektronik ya gesss takut ada yang rusak jadi kalian ga rugi🫶🏻 thanks baseus",LABEL_0,0.9909959435462952
d*****a,"Kualitas Suara: kualitas suaranya bagus banget
Desain: mungil dan mudah di bawa kemana-mana
Daya Tahan: asli baterai nya tahan lama
Baru sampai kemarin, Alhamdulillah produk berfungsi dengan baik tanpa cacat. Kualitas suaranya juga oke, apalagi ditambah bisa diatur di aplikasi. Puas pokok e 👍",LABEL_0,0.9971960783004761
e*****1,"Kualitas Suara: suaranya jernih
Desain: lucuu dan menarik
Fungsi: berfungsi sesuai deskripsi
semoga awet",LABEL_0,0.9951756000518799
d*****2,"Kualitas Suara: Mengesankan suaranya bass
Desain: warnanya lucu
Daya Tahan: aku beli baseus wm01 dulu bisa bertahan 4 tahun dong, mantap walau kebanting terus 😭
Beli lagi setelah baseus pertama aku udah ga berfungsi lagi, dari sekian banyaknya aku beli, yang ini paling lama sampe 4 tahun. Waktu pengemasan cepat, paket paling awal dari paket lain yang aku beli di hari yang sama. Suaranya jernih banget, nyaman dipake di telinga + ga sakit. Jatuh cinta jadi beli disini lagi hehe❤️",LABEL_0,0.9921499490737915
n*****a,"Kualitas Suara: sangat memuaskan
Desain: menarik dengan detail yang apik
Fungsi: barang bekerja dengan baik",LABEL_0,0.9944832921028137
e*****3,"Kualitas Suara: bass bagus, jernih
Desain: cool warna hitam
Daya Tahan: awet batrenya
Ini beli lagi baseus yg sama hanya beda warna, krn yg lama hilang, pas lepas helm lagi motoran sambil dengerin lagu 

Semoga kali inii ga ilang lagi, awet sampe tua 🤣",LABEL_0,0.9237380027770996
z*****f,"Kualitas Suara: belum di coba masih di cas
Kualitas: bagus sih aku udah coba punya temen
Keseluruhan: bagus dan memuaskan
aku udah nyoba punya temen aku, wm01 juga. bagus sih tahan lama banget. worth it 👍👍",LABEL_0,0.937812089920044
b*****p,"Kualitas Suara: sangat memuaskan
Desain: modern imut luchu
Fungsi: baguss
lucu banget warna nya soft, suaranya juga oke
thanks seller 🥂💅 berkah selalu",LABEL_0,0.9841377139091492
e*****8,"Desain: lucu dan menarik
Dikemas dengan baik dan aman.
Kualitas suara oke dan cukup kedap.",LABEL_0,0.9933826923370361
,"Kualitas Suara: baik
Desain: rapih dan orii
Daya Tahan: lama
Ga nyangka sih bakal sesuai ekspetasi, bagus dan aman banget pengemasannya",LABEL_0,0.9965735673904419
n*****s,"Kualitas Suara: belum di coba
Desain: kecil, simpel, lucu 🤏🏻
Daya Tahan: belum di coba
Sesuai dengan pesanan, semoga awet lama. Terima kasih 🫶🏻✨",LABEL_0,0.9266647100448608
a*****.,"Kualitas Suara: sangat jernih dan bagus
Keseluruhan: produk yang bagus dan memuaskan
pengirimannya cepat banget",LABEL_0,0.9974600672721863
r*****i,"Kualitas Suara: sangat memuas kan
Desain: lucu dan menarik
Daya Tahan: tahan lama dan sangat handl
Paket sdh di terima dg baik,aman dan sesuai pesanan,seller gercef,kemarin pesan hari dah nyampe,sesuai ekspetasi tksh seller and shopee...",LABEL_0,0.9928731918334961
n*****a,"Kualitas Suara: bagus
Desain: lucu
Fungsi: baik
bagus cuma apa yaa bass nya tuh baru kerasa pas volume mendekati 100% apa aku yg salah setting ato gimana aku gatau, intinya bagus sihh dan lucu yah lumayanla aku dpt di harga 115rb an aja lgi diskon jdi oke bagus good quality thanks baseus. oiya ini pembelian tws ke 2 ku setelah kemaren beliin kado buat temen, eh ternyata aku juga kecantol",LABEL_0,0.9348663091659546
,"Kualitas Suara: ok
Desain: ok
Fungsi: ok
Ada kabel charge ya kawan, download diaplikasi baseus nya,ketika pair ng jgn lupa plastik yg menempel diperangkat di lepas krn mengganggu konektifitas.",LABEL_1,0.9144992232322693
,"Kualitas Suara: sangat puas
Desain: lucu, mungil, menarik
Fungsi: bekerja dengan baik
Lucu banget, mungil gtu, gemes deh. Anakku ampe stecu2😁🤭.. pengiriman aman. Btw thanks ya..",LABEL_0,0.9890150427818298
,"Kualitas Suara: bagussss
Kualitas: baikkkkk
Adminnyaa super ramah, kurirnya juga ramah. Semoga earphonenya bertahan lama, intinya bagus. Suaranya juga ga bocor, suka banget",LABEL_0,0.9982267022132874
g*****d,"Kualitas Suara: baguss
Desain: bagus
Daya Tahan: lamaa
ini pembelian ke 3 ku wkwk, yg pertama oke bngt tp hilang sebelah, yg ke 2 ez10 tp ada problem but its oke ujung2nya jg ilang sebelah, dn memutuskan untuk kembali ke wm01, bass nya nampoll, baterai juga awett banget, ini aja belum aku charger:)) thnkss",LABEL_2,0.5432334542274475
b*****7,"Kualitas Suara: jernih
Desain: imut
Daya Tahan: belom di coba
Semoga awet, di kemas rapi dan aman, sesuai pilihan, semiga ga trobel aman",LABEL_0,0.9949085116386414
y*****n,"Kualitas Suara: bagus, jernis bass cakep
Desain: dulu cuma hitam putih, sekarang udah ada warna lain jd lucu
Daya Tahan: punya ku 2 udah masuk 2 taun, ini buat adek aku
Packingnya aman, prosesnya cepet jugaa pokoknye the best sii. Harga dan kualitas oke lah masuk banget!",LABEL_0,0.9981750249862671
k*****_,"Kualitas Suara: sangat jernih dan baguss
Desain: lucyuuuu warnaya pastell
Daya Tahan: tahan lama
Aku beli karena saudara ada yang punya udh 2thn masih bagusss(btw itu case nya belinya pisahya)",LABEL_0,0.9812576770782471
,"Bgus suara jernih dan juga bass nya kerasa walaupun gk yg ngebas banget, tpi untuk harga segini sudah termsuk oke banget sih😍 rekomended harga murah berkualitas👍",LABEL_0,0.9921963214874268
s*****9,"Kualitas Suara: jernih banget
Desain: compact dan portable
Daya Tahan: ampuh
cepet banget sampenya. Biasanya 3 hari lebih ini 2 hari udah sampe",LABEL_0,0.993826687335968
,"Kualitas Suara: sangat mengesankan
Desain: menarik
Daya Tahan: tahan lama
Paket sudah sampai dengan aman. Barang sesuai dengan gambar dan pesanan. Sudah dicoba dan semua berfungsi baik - suara mantap. Maaf udah kupasang case pelindung (case pelindung beli di toko lain ya). Intinya puas banget!",LABEL_0,0.9970436692237854
